title,budget,gross,mpaa,running_time,genre,year
Fighting Back,0,3355948.0,R,"98.0,",Action,1982
Kamikaze 89,0,22440.0,Not Rated,"106.0,",Sci-Fi,1982
Heidi's Song,0,5124391.0,G,"94.0,",Animation,1982
Lonely Hearts,0,777087.0,R,"106.0,",Comedy,1982
Scarface,25000000,65884703.0,R,"170.0,",Crime,1983
The Outsiders,10000000,25697647.0,PG,"91.0,",Crime,1983
Star Wars: Episode VI - Return of the Jedi,32500000,475106177.0,PG,"131.0,",Action,1983
Risky Business,6200000,63541777.0,R,"99.0,",Comedy,1983
National Lampoon's Vacation,15000000,61399552.0,R,"98.0,",Adventure,1983
Trading Places,15000000,90404800.0,R,"116.0,",Comedy,1983
Superman III,39000000,59950623.0,PG,"125.0,",Action,1983
The Big Chill,8000000,56399659.0,R,"105.0,",Comedy,1983
Staying Alive,22000000,64892670.0,PG,"93.0,",Drama,1983
Jaws 3-D,20500000,87987055.0,PG,"99.0,",Adventure,1983
Christine,9700000,21017849.0,R,"110.0,",Horror,1983
Flashdance,4000000,92921203.0,R,"95.0,",Drama,1983
WarGames,12000000,79567667.0,PG,"114.0,",Action,1983
The Right Stuff,27000000,21192315.0,PG,"193.0,",Adventure,1983
Krull,47000000,16916617.0,PG,"121.0,",Action,1983
Spring Break,0,24071666.0,R,"102.0,",Comedy,1983
The Dead Zone,10000000,20766616.0,R,"103.0,",Drama,1983
Octopussy,27500000,67893619.0,PG,"131.0,",Action,1983
Private School,3500000,14049540.0,R,"89.0,",Comedy,1983
Valley Girl,350000,17343596.0,R,"99.0,",Comedy,1983
Rumble Fish,10000000,2494480.0,R,"94.0,",Crime,1983
Videodrome,5952000,2120439.0,R,"87.0,",Horror,1983
Terms of Endearment,8000000,108423749.0,PG,"132.0,",Comedy,1983
Twilight Zone: The Movie,10000000,29450919.0,PG,"101.0,",Horror,1983
Never Say Never Again,36000000,55432841.0,PG,"134.0,",Action,1983
A Christmas Story,3300000,20653717.0,PG,"93.0,",Comedy,1983
Cujo,5000000,21156152.0,R,"93.0,",Horror,1983
Sudden Impact,22000000,67642693.0,R,"117.0,",Action,1983
The Hunger,0,5988322.0,R,"97.0,",Drama,1983
Mr. Mom,0,64783827.0,PG,"91.0,",Comedy,1983
Blue Thunder,22000000,42313354.0,R,"109.0,",Action,1983
Breathless,7500000,19910002.0,R,"100.0,",Action,1983
Psycho II,5000000,34725000.0,R,"113.0,",Crime,1983
Local Hero,0,5899678.0,PG,"111.0,",Comedy,1983
Bad Boys,0,9190819.0,R,"123.0,",Crime,1983
Silkwood,10000000,35615609.0,R,"131.0,",Biography,1983
All the Right Moves,5600000,17233166.0,R,"91.0,",Drama,1983
The Keep,11000000,4218594.0,R,"96.0,",Drama,1983
My Tutor,0,22587834.0,R,"97.0,",Comedy,1983
Yentl,12000000,40218899.0,PG,"133.0,",Drama,1983
Fire and Ice,1200000,760883.0,PG,"81.0,",Animation,1983
Eddie and the Cruisers,0,4786789.0,PG,"95.0,",Drama,1983
Yellowbeard,6500000,4300000.0,PG,"96.0,",Action,1983
The Meaning of Life,9000000,14949697.0,R,"107.0,",Comedy,1983
Nostalghia,0,55269.0,Not Rated,"125.0,,",Drama,1983
Hot Dog... The Movie,0,20307325.0,R,"96.0,",Comedy,1983
Smokey and the Bandit Part 3,0,5678950.0,PG,"85.0,",Action,1983
Deathstalker,457000,11919250.0,R,"80.0,",Action,1983
Porky's II: The Next Day,6500000,33759266.0,R,"98.0,",Comedy,1983
Something Wicked This Way Comes,19000000,8400000.0,PG,"95.0,",Fantasy,1983
Tender Mercies,0,8443124.0,PG,"92.0,",Drama,1983
Star 80,12000000,6472990.0,R,"103.0,",Biography,1983
Gorky Park,15000000,15856028.0,R,"128.0,",Crime,1983
Lone Wolf McQuade,5000000,12232628.0,PG,"107.0,",Action,1983
Easy Money,0,29309766.0,R,"95.0,",Comedy,1983
Merry Christmas Mr. Lawrence,0,2306560.0,R,"123.0,",Drama,1983
Losin' It,7000000,1246141.0,R,"100.0,",Comedy,1983
Screwballs,800000,2082215.0,R,"80.0,",Comedy,1983
Brainstorm,15000000,10219460.0,PG,"106.0,",Sci-Fi,1983
The Man with Two Brains,0,10353438.0,R,"93.0,",Comedy,1983
Angel,3000000,17488564.0,R,"94.0,",Action,1983
10 to Midnight,4520000,7175592.0,R,"101.0,",Crime,1983
Uncommon Valor,14500000,30503151.0,R,"105.0,",Action,1983
Doctor Detroit,0,10375893.0,R,"89.0,",Comedy,1983
Mortuary,250000,4319001.0,R,"93.0,",Horror,1983
Stroker Ace,0,13000000.0,PG,"96.0,",Action,1983
Sahara,25000000,1402962.0,PG,"111.0,",Adventure,1983
Two of a Kind,14000000,23646952.0,PG,"88.0,",Comedy,1983
Chained Heat,1250000,6149983.0,R,"95.0,",Action,1983
Spacehunter: Adventures in the Forbidden Zone,14400000,16478265.0,PG,"90.0,",Action,1983
High Road to China,19000000,28445927.0,PG,"105.0,",Adventure,1983
Never Cry Wolf,0,29600000.0,PG,"105.0,",Adventure,1983
The Pirates of Penzance,0,694497.0,G,"112.0,",Comedy,1983
Rock & Rule,8000000,30379.0,PG,"77.0,",Animation,1983
Hercules,2500000,10676194.0,PG,"98.0,",Adventure,1983
Educating Rita,0,14648076.0,PG,"110.0,",Comedy,1983
A Night in Heaven,0,5563663.0,R,"83.0,",Drama,1983
Under Fire,9500000,5696391.0,R,"128.0,",Drama,1983
Amityville 3-D,6000000,6333135.0,PG,"105.0,",Horror,1983
Testament,0,2044892.0,PG,"90.0,",Drama,1983
The Osterman Weekend,6500000,6486797.0,R,"103.0,",Action,1983
Revenge of the Ninja,700000,13168027.0,R,"90.0,",Action,1983
Zelig,0,11798616.0,PG,"79.0,",Comedy,1983
To Be or Not to Be,9000000,13030214.0,PG,"107.0,",Comedy,1983
Eureka,0,123572.0,R,"130.0,",Drama,1983
The Wicked Lady,8000000,724912.0,R,"98.0,",Adventure,1983
Still Smokin,0,15543710.0,R,"91.0,",Comedy,1983
"Yor, the Hunter from the Future",0,2810199.0,PG,"88.0,",Action,1983
Of Unknown Origin,4000000,1080470.0,R,"88.0,",Horror,1983
Curse of the Pink Panther,11000000,4491986.0,PG,"109.0,",Comedy,1983
D.C. Cab,8000000,16134627.0,R,"100.0,",Action,1983
Beyond the Limit,11800000,5997566.0,R,"104.0,",Drama,1983
The Survivors,12000000,14000000.0,R,"103.0,",Comedy,1983
The Lonely Lady,5000000,1223200.0,R,"92.0,",Drama,1983
The Star Chamber,0,5555305.0,R,"109.0,",Crime,1983
The Dresser,0,5310748.0,PG,"118.0,",Drama,1983
The Lords of Discipline,0,11787127.0,R,"102.0,",Thriller,1983
The Man Who Loved Women,19000000,10964740.0,R,"110.0,",Comedy,1983
Nightmares,6000000,6670680.0,R,"99.0,",Horror,1983
Deal of the Century,10000000,10369581.0,PG,"99.0,",Comedy,1983
Eddie Macon's Run,5000000,1262691.0,PG,"95.0,",Action,1983
Max Dugan Returns,0,17613720.0,PG,"98.0,",Comedy,1983
The Sting II,0,6347072.0,PG,"101.0,",Comedy,1983
Baby It's You,3000000,1867792.0,R,"105.0,",Comedy,1983
Heat and Dust,0,1772889.0,R,"130.0,,",Drama,1983
Daniel,0,687475.0,R,"130.0,",Drama,1983
Heart Like a Wheel,0,272278.0,PG,"113.0,",Biography,1983
Love Letters,550000,5269990.0,R,"88.0,",Drama,1983
Get Crazy,5500000,1645711.0,R,"92.0,",Comedy,1983
Nate and Hayes,12000000,1963756.0,PG,"99.0,",Action,1983
Strange Invaders,0,1362303.0,PG,"94.0,",Horror,1983
The Black Stallion Returns,0,12049514.0,PG,"103.0,",Adventure,1983
Metalstorm: the Destruction of Jared-Syn,0,5301085.0,PG,"84.0,",Action,1983
Getting It on,220000,975414.0,R,"96.0,,",Comedy,1983
Lianna,300000,1530839.0,R,"110.0,",Drama,1983
